Nama Jurnal,ISSN,SJR,H-Index,Bidang Ilmu,Quartil
International Journal of Automation Technology,18838022,0.357,28,Industrial and Manufacturing Engineering,Q2
International Journal of Yoga Therapy,15312054,0.357,21,Complementary and Manual Therapy,Q2
Journal of Aquatic Food Product Technology,15470636,0.357,45,Aquatic Science,Q3
Journal of Couple and Relationship Therapy,15332683,0.357,29,Gender Studies,Q2
Journal of Structural and Construction Engineering,18818153,0.357,17,Architecture,Q1
Leisure/ Loisir,14927713,0.357,32,"Geography, Planning and Development",Q2
Materials Science-Poland,20831331,0.357,45,Condensed Matter Physics,Q3
Music Educators Journal,00274321,0.357,29,Music,Q1
Open Information Science,24511781,0.357,13,Library and Information Sciences,Q2
"Physical Culture and Sport, Studies and Research",20812221,0.357,14,Cultural Studies,Q1
Revista Derecho del Estado,23462051,0.357,8,Law,Q2
Science and Engineering of Composite Materials,21910359,0.357,33,Ceramics and Composites,Q3
South Asia Multidisciplinary Academic Journal,19606060,0.357,8,Social Sciences,Q2
Stratum Plus,18573533,0.357,12,Archeology,Q1
Teflin Journal,23562641,0.357,11,Linguistics and Language,Q1
Acta Cardiologica,00015385,0.356,45,Cardiology and Cardiovascular Medicine,Q3
Brain Hemorrhages,2589238X,0.356,11,Neurology,Q3
Current Organic Chemistry,13852728,0.356,115,Organic Chemistry,Q3
Deutsche Zeitschrift fur Sportmedizin,03445925,0.356,23,Orthopedics and Sports Medicine,Q3
Educational Media International,14695790,0.356,49,Communication,Q2
Griffith Law Review,18394205,0.356,23,Law,Q2
High Temperature Materials and Processes,21910324,0.356,29,Condensed Matter Physics,Q3
IAFOR Journal of Education,21870594,0.356,14,Public Administration,Q2
Indian Journal of Tuberculosis,00195707,0.356,28,Infectious Diseases,Q3
International Forum of Psychoanalysis,16512324,0.356,20,Clinical Psychology,Q3
International Journal of Shipping and Transport Logistics,17566517,0.356,31,Business and International Management,Q3
Journal of Agrometeorology,25832980,0.356,20,Agronomy and Crop Science,Q2
Journal of Park and Recreation Administration,21606862,0.356,12,Nature and Landscape Conservation,Q2
Journal of Simulation,17477778,0.356,34,Industrial and Manufacturing Engineering,Q2
Journal on Efficiency and Responsibility in Education and Science,23362375,0.356,14,Education,Q3
Kang T'ieh/Iron and Steel,0449749X,0.356,29,Metals and Alloys,Q2
LIBER Quarterly,14355205,0.356,22,Library and Information Sciences,Q2
Management Research,15365433,0.356,25,Business and International Management,Q3
Microsystem Technologies,09467076,0.356,78,Condensed Matter Physics,Q3
Occupational Therapy in Mental Health,0164212X,0.356,26,Applied Psychology,Q3
Physiology International,2498602X,0.356,38,Complementary and Alternative Medicine,Q2
Post Reproductive Health,20533691,0.356,42,Obstetrics and Gynecology,Q3
Prison Journal,00328855,0.356,61,Law,Q2
Quantum Beam Science,2412382X,0.356,18,"Atomic and Molecular Physics, and Optics",Q3
Research in Dance Education,14701111,0.356,22,Visual Arts and Performing Arts,Q1
RMLE Online,19404476,0.356,21,Education,Q3
Scientia Agricola,01039016,0.356,69,Agronomy and Crop Science,Q2
"Sexual Offending: Theory, Research, and Prevention",26998440,0.356,6,Law,Q2
Taiwanese Journal of Mathematics,10275487,0.356,54,Mathematics,Q3
Vascular and Endovascular Surgery,15385744,0.356,56,Cardiology and Cardiovascular Medicine,Q3
ZTE Communications,16735188,0.356,10,Communication,Q2
"Acta Dermatovenerologica Alpina, Pannonica et Adriatica",13184458,0.355,34,Dermatology,Q3
ACTA Paulista de Enfermagem,19820194,0.355,29,Medical and Surgical Nursing,Q1
Annals of Eye Science,25204122,0.355,12,Ophthalmology,Q3
Artificial Life and Robotics,14335298,0.355,25,Artificial Intelligence,Q3
Asian Geographer,10225706,0.355,15,"Geography, Planning and Development",Q2
Biochemical Systematics and Ecology,03051978,0.355,81,Biochemistry,Q3
Biological Agriculture and Horticulture,01448765,0.355,39,Agronomy and Crop Science,Q2
Canadian Water Resources Journal,07011784,0.355,44,Water Science and Technology,Q3
Chinese Journal of Plant Ecology,1005264X,0.355,24,Ecology,Q2
Constraints,15729354,0.355,49,Artificial Intelligence,Q3
Data Science Journal,16831470,0.355,31,Computer Science,Q2
EPPO Bulletin,02508052,0.355,46,Agronomy and Crop Science,Q2
Ethnomusicology,00141836,0.355,30,Cultural Studies,Q1
HAU: Journal of Ethnographic Theory,20491115,0.355,49,Anthropology,Q2
Insect Systematics and Evolution,1876312X,0.355,36,Ecology,Q2
International Journal of Environmental Studies,00207233,0.355,46,Ecology,Q2
International Journal of Health Care Quality Assurance,09526862,0.355,61,"Business, Management and Accounting",Q3
International Journal of Ventilation,14733315,0.355,28,Building and Construction,Q3
"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",21949042,0.355,57,Earth and Planetary Sciences,-
Journal of Mechanics,18118216,0.355,31,Applied Mathematics,Q3
Journal of Pastoral Care and Counseling,15423050,0.355,26,Religious Studies,Q1
Journal of the Marine Biological Association of the United Kingdom,14697769,0.355,81,Aquatic Science,Q3
Journal of Tropical Ecology,02664674,0.355,98,"Ecology, Evolution, Behavior and Systematics",Q3
"Pediatric Endocrinology, Diabetes and Metabolism",2081237X,0.355,19,"Endocrinology, Diabetes and Metabolism",Q3
Proceedings of the Institution of Civil Engineers: Bridge Engineering,17517664,0.355,26,Building and Construction,Q3
Turkish Journal of Earth Sciences,1303619X,0.355,52,Earth and Planetary Sciences,Q3
Water Economics and Policy,2382624X,0.355,17,Business and International Management,Q3
Zeitschrift fur Soziologie,23660325,0.355,39,Sociology and Political Science,Q2
Advances in Dual Diagnosis,17570972,0.354,16,Psychiatry and Mental Health,Q3
African Studies Review,00020206,0.354,57,Cultural Studies,Q1
Asian Development Review,01161105,0.354,29,"Geography, Planning and Development",Q2
Asian Journal of Philosophy,27314642,0.354,6,Philosophy,Q1
Cardiology Research,19232837,0.354,13,Cardiology and Cardiovascular Medicine,Q3
Current Hypertension Reviews,18756506,0.354,30,Internal Medicine,Q3
EJVES Vascular Forum,2666688X,0.354,13,Cardiology and Cardiovascular Medicine,Q3
Epilepsy Currents,15357511,0.354,34,Neurology,Q3
Heat Transfer Research,10642285,0.354,35,Condensed Matter Physics,Q3
International Journal of Technology,20869614,0.354,29,Engineering,Q2
International Journal of Tourism Anthropology,17590450,0.354,9,Anthropology,Q2
JACC: Case Reports,26660849,0.354,13,Cardiology and Cardiovascular Medicine,Q3
JAMS Journal of Acupuncture and Meridian Studies,20938152,0.354,42,Complementary and Alternative Medicine,Q2
Journal of Architectural Conservation,13556207,0.354,22,Conservation,Q1
Journal of Child Psychotherapy,14699370,0.354,28,Clinical Psychology,Q3
Journal of Music Theory,19417497,0.354,17,Music,Q1
Journal of New Music Research,09298215,0.354,45,Music,Q1
Journal of Porous Media,19340508,0.354,47,Biomedical Engineering,Q3
Journal of Veterinary Dentistry,24704083,0.354,35,Veterinary,Q2
Medicinski Glasnik,18402445,0.354,23,Medicine,Q3
Methods in Molecular Biology,19406029,0.354,215,Genetics,Q4
Museum and Society,14798360,0.354,9,Museology,Q1
Plant Protection Science,18059341,0.354,32,Agronomy and Crop Science,Q2
Progress in Palliative Care,09699260,0.354,23,Medicine,Q3
Zolotoordynskoe Obozrenie,23136197,0.354,5,History,Q1
Anales de Pediatria,16954033,0.353,38,"Pediatrics, Perinatology and Child Health",Q3
Anthropozoologica,07613032,0.353,13,Animal Science and Zoology,Q2
Brain Impairment,18395252,0.353,30,Neurology,Q3
Cardiology in the Young,10479511,0.353,68,Cardiology and Cardiovascular Medicine,Q3
Cognitive Computation and Systems,25177567,0.353,12,Artificial Intelligence,Q3
Digital Transformation and Society,27550761,0.353,7,Library and Information Sciences,Q2
Echocardiography,07422822,0.353,74,Cardiology and Cardiovascular Medicine,Q3
Fuzzy Information and Engineering,16168658,0.353,27,Industrial and Manufacturing Engineering,Q2
International Journal of Computational Fluid Dynamics,10618562,0.353,49,Computational Mechanics,Q2
International Journal of Horticultural Science and Technology,25883143,0.353,13,Horticulture,Q2
International Review of Public Administration,23317795,0.353,25,Public Administration,Q2
Journal of Contemporary Dental Practice,15263711,0.353,53,Dentistry,Q2
Medicina Intensiva,15786749,0.353,41,Critical Care and Intensive Care Medicine,Q2
Mini-Reviews in Organic Chemistry,18756298,0.353,45,Organic Chemistry,Q3
Neurology India,19984022,0.353,59,Neurology,Q3
Papeis Avulsos de Zoologia,00311049,0.353,30,Animal Science and Zoology,Q2
Physical Activity and Nutrition,27337545,0.353,9,Health,Q3
Politica Criminal,07183399,0.353,12,Law,Q2
Records of Natural Products,13076167,0.353,45,Plant Science,Q2
Renal Replacement Therapy,20591381,0.353,22,Nephrology,Q3
Reports on Mathematical Physics,00344877,0.353,44,Mathematical Physics,Q3
Revista Brasileira de Zootecnia,18069290,0.353,65,Animal Science and Zoology,Q2
Romanian Journal of Internal Medicine,2501062X,0.353,29,Internal Medicine,Q3
South African Journal of Economic and Management Sciences,22223436,0.353,28,"Economics, Econometrics and Finance",Q2
Stratigraphy,1547139X,0.353,30,Paleontology,Q3
Theoretical and Mathematical Physics (Russian Federation),15739333,0.353,48,Mathematical Physics,Q3
Advances in Operations Research,16879155,0.352,20,Management Science and Operations Research,Q3
Asian Myrmecology,19851944,0.352,18,Ecology,Q3
Australian Journal of Earth Sciences,08120099,0.352,88,Earth and Planetary Sciences,Q3
Business History Review,00076805,0.352,40,History,Q1
Central Asian Affairs,22142290,0.352,11,Political Science and International Relations,Q2
Cyber-Physical Systems,23335785,0.352,17,Computational Mechanics,Q2
Delaware Journal of Public Health,26396378,0.352,9,Health Policy,Q3
Design Journal,14606925,0.352,33,Arts and Humanities,Q2
Estudios Sobre el Mensaje Periodistico,19882696,0.352,20,Cultural Studies,Q1
Eurasian Chemico-Technological Journal,15623920,0.352,17,Chemical Engineering,Q3
European Papers - A Journal on Law and Integration,24998249,0.352,12,Law,Q2
Foresight and STI Governance,23129972,0.352,27,Decision Sciences,Q2
International Journal of Business Intelligence Research,19473605,0.352,10,Information Systems and Management,Q2
Journal of Aerosol Medicine and Pulmonary Drug Delivery,19412703,0.352,86,Pharmaceutical Science,Q2
Journal of Ethnic and Cultural Studies,21491291,0.352,17,Cultural Studies,Q1
Journal of Genetics,09737731,0.352,50,Genetics,Q4
Journal of ICT Standardization,2245800X,0.352,11,Information Systems and Management,Q2
Journal of Theoretical and Philosophical Psychology,10688471,0.352,30,Philosophy,Q1
Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),03029743,0.352,499,Computer Science,Q2
Liquids,26738015,0.352,8,Chemical Engineering,Q3
Management and Labour Studies,23210710,0.352,19,Business and International Management,Q3
Physics in Medicine,23524510,0.352,11,Biophysics,Q3
Proceedings of the Institution of Civil Engineers: Urban Design and Planning,17550807,0.352,24,Architecture,Q1
Proyecciones,07176279,0.352,19,Mathematics,Q3
Solid-State Electronics,00381101,0.352,108,Condensed Matter Physics,Q3
Southern Communication Journal,19303203,0.352,33,Communication,Q2
Survey Methodology,14920921,0.352,26,Modeling and Simulation,Q3
Advances in Applied Ceramics,17436761,0.351,59,Industrial and Manufacturing Engineering,Q2
African Journal of Economic and Management Studies,20400713,0.351,31,"Economics, Econometrics and Finance",Q2
AIAA/IEEE Digital Avionics Systems Conference - Proceedings,21557195,0.351,43,Aerospace Engineering,-
Ardea,03732266,0.351,53,Animal Science and Zoology,Q2
Australasian Journal of Special and Inclusive Education,25150731,0.351,20,Education,Q3
Biodiversity Data Journal,13142828,0.351,33,Agricultural and Biological Sciences,Q2
Chinese Journal of Urban and Environmental Studies,2345752X,0.351,9,"Geography, Planning and Development",Q2
Electric Power Components and Systems,15325016,0.351,67,Electrical and Electronic Engineering,Q3
Engineering Research Express,26318695,0.351,24,Engineering,Q2
History of Education Quarterly,00182680,0.351,15,History,Q1
"International Journal of Mathematical, Engineering and Management Sciences",24557749,0.351,24,Computer Science,Q2
Japan Forum,09555803,0.351,22,Cultural Studies,Q1
Journal of Asian Natural Products Research,10286020,0.351,54,Complementary and Alternative Medicine,Q2
Journal of Cryptographic Engineering,21908516,0.351,37,Computer Networks and Communications,Q3
Journal of General Music Education,27527646,0.351,4,Music,Q1
Journal of Integer Sequences,15307638,0.351,32,Discrete Mathematics and Combinatorics,Q3
Journal of Orthoptera Research,10826467,0.351,23,Animal Science and Zoology,Q2
Journal of Psoriasis and Psoriatic Arthritis,24755311,0.351,9,Dermatology,Q3
Neotropical Biodiversity,23766808,0.351,17,Ecology,Q3
Nordic Journal of Botany,0107055X,0.351,41,Plant Science,Q2
"Nuclear Instruments and Methods in Physics Research, Section B: Beam Interactions with Materials and Atoms",0168583X,0.351,136,Instrumentation,Q3
Pediatric Hematology and Oncology,08880018,0.351,50,Hematology,Q3
Pediatric Reports,2036749X,0.351,27,Pediatrics,Q3
Pramana - Journal of Physics,03044289,0.351,64,Physics and Astronomy,Q2
"Proceedings of the ACM SIGCOMM Internet Measurement Conference, IMC",21503761,0.351,7,Computer Networks and Communications,-
Review of Derivatives Research,13806645,0.351,30,"Economics, Econometrics and Finance",Q2
Revista de Gastroenterologia de Mexico,03750906,0.351,27,Gastroenterology,Q3
Sahand Communications in Mathematical Analysis,24233900,0.351,8,Analysis,Q3
Scientia Geologica Sinica,05635020,0.351,48,Geology,Q3
Social Text,01642472,0.351,14,Cultural Studies,Q1
Strojnicky Casopis,24505471,0.351,16,Mechanical Engineering,Q3
Surgical Neurology International,22295097,0.351,48,Neurology,Q3
Zoological Science,02890003,0.351,67,Animal Science and Zoology,Q2
Acta Medica Academica,18402879,0.35,21,Veterinary,Q2
African Journal of Reproductive Health,21413606,0.35,51,Obstetrics and Gynecology,Q3
Annals of Maxillofacial Surgery,22310746,0.35,18,Oral Surgery,Q3
Assessment for Effective Intervention,19387458,0.35,34,Health Professions,Q2
British Journal of Visual Impairment,17445809,0.35,29,Ophthalmology,Q3
Cellular Polymers,14782421,0.35,31,Organic Chemistry,Q3
Electrical Engineering and Electromechanics,23093404,0.35,14,Electrical and Electronic Engineering,Q3
Gastroenterology Insights,20367422,0.35,12,Gastroenterology,Q3
Historical Archaeology,04409213,0.35,30,Archeology,Q1
History of Education,14645130,0.35,26,History and Philosophy of Science,Q2
Hungarian Geographical Bulletin,20645147,0.35,21,Cultural Studies,Q1
"IEEE Haptics Symposium, HAPTICS",23247347,0.35,28,Artificial Intelligence,-
"International Journal of Migration, Health and Social Care",20428650,0.35,22,Law,Q2
Investigaciones sobre Lectura,23408685,0.35,6,Linguistics and Language,Q1
Iranian Journal of Mathematical Chemistry,20089015,0.35,10,Applied Mathematics,Q3
Journal of Asian Studies,00219118,0.35,60,Cultural Studies,Q1
Journal of E-Learning and Knowledge Society,18266223,0.35,26,Computer Science Applications,Q3
Journal of Engineering Mathematics,15732703,0.35,63,Engineering,Q2
Journal of Histotechnology,01478885,0.35,27,Anatomy,Q2
Journal of Railway Engineering Society,10062106,0.35,17,Engineering,Q2
Mycosystema,16726472,0.35,15,Agricultural and Biological Sciences,Q2
Natural Areas Journal,08858608,0.35,49,Nature and Landscape Conservation,Q2
"Proceedings - IEEE International Symposium on Defect and Fault Tolerance in VLSI and Nanotechnology Systems, DFT",25761501,0.35,7,Electrical and Electronic Engineering,-
Programme Grants for Applied Research,20504322,0.35,8,Health Informatics,Q3
Results in Nonlinear Analysis,26367556,0.35,10,Analysis,Q3
Studies in the Education of Adults,02660830,0.35,34,Sociology and Political Science,Q2
World Literature Studies,13379275,0.35,7,Literature and Literary Theory,Q1
Advances in Natural Sciences: Nanoscience and Nanotechnology,20436262,0.349,68,Industrial and Manufacturing Engineering,Q2
Afrika Matematika,10129405,0.349,28,Mathematics,Q3
Arbitration International,09570411,0.349,25,Law,Q2
Biomedical Engineering Communications,28159063,0.349,3,Biomedical Engineering,Q3
Biomolecular NMR Assignments,1874270X,0.349,19,Biochemistry,Q3
Bulletin of the Korean Mathematical Society,10158634,0.349,36,Mathematics,Q3
Bulletin of the Section of Logic,01380680,0.349,16,Philosophy,Q1
Cartographica,03177173,0.349,43,Earth-Surface Processes,Q2
Chemical and Pharmaceutical Bulletin,00092363,0.349,106,Chemistry,Q3
Drone Systems and Applications,25644939,0.349,31,Automotive Engineering,Q2
Dynamical Systems,14689367,0.349,36,Computer Science Applications,Q3
Geosystem Engineering,21663394,0.349,27,Environmental Engineering,Q3
Hawaii Journal of Health and Social Welfare,26415216,0.349,35,Social Sciences,Q2
Indian Journal of Community Medicine,09700218,0.349,48,"Public Health, Environmental and Occupational Health",Q3
"International Journal of Engineering, Transactions B: Applications",1728144X,0.349,28,Engineering,Q2
International Journal of Hybrid Intelligent Systems,18758819,0.349,10,Artificial Intelligence,Q3
International Journal of Sensor Networks,17481287,0.349,36,Computer Networks and Communications,Q3
Iraqi Geological Journal,24146064,0.349,16,Geology,Q3
Journal of Parasitic Diseases,09717196,0.349,37,Parasitology,Q3
Journal of the European Optical Society-Rapid Publications,19902573,0.349,40,"Atomic and Molecular Physics, and Optics",Q3
Materials Research Innovations,1433075X,0.349,57,Condensed Matter Physics,Q3
New Medit,15945685,0.349,26,Agricultural and Biological Sciences,Q2
Pacific Affairs,0030851X,0.349,46,"Geography, Planning and Development",Q2
Proceedings of the International Joint Conference on Neural Networks,-,0.349,105,Artificial Intelligence,-
Viral Immunology,15578976,0.349,71,Virology,Q3
Asian Journal of Endoscopic Surgery,17585902,0.348,29,Gastroenterology,Q3
Australasian Journal of Ultrasound in Medicine,22050140,0.348,17,Radiological and Ultrasound Technology,Q3
Basic and Clinical Neuroscience,2008126X,0.348,31,Neurology,Q3
Blumea: Journal of Plant Taxonomy and Plant Geography,00065196,0.348,32,Plant Science,Q2
British Journal of Nursing,09660461,0.348,59,Nursing,Q3
Creativity Studies,23450487,0.348,17,Cultural Studies,Q1
Die Erde,00139998,0.348,31,Social Sciences,Q2
Egyptian Rheumatologist,11101164,0.348,24,Rheumatology,Q3
Fisheries Science,09199268,0.348,75,Aquatic Science,Q3
Forschung im Ingenieurwesen/Engineering Research,00157899,0.348,28,Engineering,Q2
Health Physics,15385159,0.348,85,Epidemiology,Q3
"Historia, Ciencias, Saude - Manguinhos",16784758,0.348,24,History and Philosophy of Science,Q2
IET Computer Vision,17519640,0.348,49,Computer Vision and Pattern Recognition,Q3
International Journal of Parallel Programming,08857458,0.348,41,Information Systems,Q3
"Journal of Childhood, Education and Society",2717638X,0.348,6,Developmental and Educational Psychology,Q3
Journal of Germanic Linguistics,14753014,0.348,18,Linguistics and Language,Q1
Journal of Insect Behavior,08927553,0.348,58,"Ecology, Evolution, Behavior and Systematics",Q3
Journal of Neurosciences in Rural Practice,09763147,0.348,36,Neurology,Q3
Journal of Orthodontic Science,22780203,0.348,21,Orthodontics,Q2
Journal of Political Science Education,15512177,0.348,33,Sociology and Political Science,Q2
Journal on Mathematics Education,24070610,0.348,33,Education,Q3
New Literary History,00286087,0.348,47,Literature and Literary Theory,Q1
New Zealand Journal of Forestry Science,11795395,0.348,38,Forestry,Q2
Novum Jus,16926013,0.348,8,Law,Q2
"Proceedings of the Institution of Mechanical Engineers, Part N: Journal of Nanomaterials, Nanoengineering and Nanosystems",23977922,0.348,27,Condensed Matter Physics,Q3
Research in Economics,10909451,0.348,36,Economics and Econometrics,Q3
Revista Brasileira de Medicina do Trabalho,16794435,0.348,14,Physiology,Q3
Revista Colombiana de Psiquiatria,00347450,0.348,24,Psychiatry and Mental Health,Q3
Revista de Estudios Sociales,19005180,0.348,18,Cultural Studies,Q1
Revista Electronica Interuniversitaria de Formacion del Profesorado,15750965,0.348,15,Cultural Studies,Q1
Significance,17409713,0.348,28,Statistics and Probability,Q3
Studies in Science of Science,10032053,0.348,13,Social Sciences,Q2
Transfusion Clinique et Biologique,19538022,0.348,46,Biochemistry,Q3
"Tribology - Materials, Surfaces and Interfaces",1751584X,0.348,26,Materials Science,Q3
Xenobiotica,00498254,0.348,91,Biochemistry,Q3
Adoption and Fostering,1740469X,0.347,34,Law,Q2
"African Journal of Science, Technology, Innovation and Development",20421338,0.347,26,Civil and Structural Engineering,Q3
American Journal of Mathematical and Management Sciences,01966324,0.347,23,Applied Mathematics,Q3
Annals of Silvicultural Research,2284354X,0.347,17,Forestry,Q2
Archivaria,03186954,0.347,33,Library and Information Sciences,Q2
Bautechnik,09328351,0.347,23,Building and Construction,Q3
Carbonates and Evaporites,08912556,0.347,34,Geochemistry and Petrology,Q3
Central Nervous System Agents in Medicinal Chemistry,18715249,0.347,41,Neuropsychology and Physiological Psychology,Q3
China Journal of Social Work,17525098,0.347,15,Sociology and Political Science,Q2
Columbia Journal of Transnational Law,00101931,0.347,39,Law,Q2
Current Reviews in Clinical and Experimental Pharmacology,27724328,0.347,51,"Pharmacology, Toxicology and Pharmaceutics",Q2
Developments in Ophthalmology,02503751,0.347,48,Medicine,Q3
Frontiers in Gastroenterology,28131169,0.347,6,Gastroenterology,Q3
Geofluids,14688115,0.347,71,Earth and Planetary Sciences,Q3
International Education Journal,14431475,0.347,42,Education,Q3
"International Journal of Engineering, Transactions A: Basics",17281431,0.347,26,Engineering,Q2
International Journal of Intelligent Transportation Systems Research,13488503,0.347,26,Automotive Engineering,Q2
International Journal of Networked and Distributed Computing,22117938,0.347,13,Computer Networks and Communications,Q3
JAMMI,23710888,0.347,9,Infectious Diseases,Q3
Journal of Advanced Pharmaceutical Technology and Research,09762094,0.347,48,Pharmaceutical Science,Q2
Journal of Cardiovascular and Thoracic Research,20086830,0.347,17,Cardiology and Cardiovascular Medicine,Q3
Journal of Human Rights Practice,17579619,0.347,28,History,Q1
Journal of Spatial Science,14498596,0.347,36,"Geography, Planning and Development",Q2
Legal Pluralism and Critical Social Analysis,27706877,0.347,30,Law,Q2
Limnetica,02138409,0.347,40,Aquatic Science,Q3
Microbiology (Russian Federation),16083237,0.347,50,Applied Microbiology and Biotechnology,Q3
Paiguan Jixie Gongcheng Xuebao/Journal of Drainage and Irrigation Machinery Engineering,16748530,0.347,25,Mechanical Engineering,Q3
Recerca,22544135,0.347,10,Philosophy,Q1
Survey Review,17522706,0.347,36,Civil and Structural Engineering,Q3
Texas Heart Institute Journal,07302347,0.347,65,Cardiology and Cardiovascular Medicine,Q3
Turkish Journal of Botany,1300008X,0.347,49,Plant Science,Q2
Adult Learning,21624070,0.346,27,Social Sciences,Q2
Annals of the Missouri Botanical Garden,00266493,0.346,82,Plant Science,Q2
Arctoa,01311379,0.346,7,Plant Science,Q2
Asian Philosophy,09552367,0.346,21,Philosophy,Q1
Biologicals,10958320,0.346,68,Applied Microbiology and Biotechnology,Q3
Chungara,07161182,0.346,31,Archeology,Q1
Community Dental Health,25151746,0.346,55,Dentistry,Q3
Critical Education,19204175,0.346,8,Education,Q3
Environmental History,19308892,0.346,45,History,Q1
Fennoscandia Archaeologica,07817126,0.346,12,Archeology,Q1
French Screen Studies,26438941,0.346,16,Visual Arts and Performing Arts,Q1
Hacettepe Journal of Mathematics and Statistics,2651477X,0.346,39,Algebra and Number Theory,Q3
Herpetological Journal,02680130,0.346,44,Animal Science and Zoology,Q2
"Imagination, Cognition and Personality",15414477,0.346,36,Psychology,Q3
International Journal of Vegetable Science,19315279,0.346,27,Agronomy and Crop Science,Q2
"International Perspectives in Psychology: Research, Practice, Consultation",21573891,0.346,14,Applied Psychology,Q3
Journal of Curriculum and Pedagogy,15505170,0.346,20,Education,Q3
Journal of Pancreatology,25773577,0.346,12,"Endocrinology, Diabetes and Metabolism",Q3
Journal of Photonics for Energy,19477988,0.346,36,"Atomic and Molecular Physics, and Optics",Q3
Pediatric Annals,00904481,0.346,45,"Pediatrics, Perinatology and Child Health",Q3
Risk Management,17434637,0.346,25,Business and International Management,Q3
Seminars in Interventional Radiology,10988963,0.346,61,Cardiology and Cardiovascular Medicine,Q3
Turkish Neurosurgery,26515032,0.346,36,Neurology,Q3
Accounting History Review,21552851,0.345,27,History,Q1
ACM Transactions on Modeling and Computer Simulation,15581195,0.345,58,Computer Science Applications,Q3
American Journal of Dentistry,08948275,0.345,84,Dentistry,Q3
Arheoloski Vestnik,15811204,0.345,16,Archeology,Q1
Asian Journal of Social Science,15684849,0.345,29,Social Sciences,Q2
Bulletin of Marine Science,00074977,0.345,89,Aquatic Science,Q3
Economists' Voice,21946167,0.345,18,"Economics, Econometrics and Finance",Q2
Fiber and Integrated Optics,10964681,0.345,30,"Atomic and Molecular Physics, and Optics",Q3
Formal Methods in System Design,15728102,0.345,58,Hardware and Architecture,Q3
INFORMS Transactions on Education,15320545,0.345,8,Management Information Systems,Q2
International Electronic Journal of Geometry,13075624,0.345,9,Applied Mathematics,Q3
Iranian Journal of Science and Technology - Transactions of Mechanical Engineering,22286187,0.345,28,Computational Mechanics,Q2
Ius et Praxis,07180012,0.345,14,Law,Q2
Journal of Advanced Research in Experimental Fluid Mechanics and Heat Transfer,27568202,0.345,9,Environmental Science,Q3
Journal of Near Infrared Spectroscopy,17516552,0.345,66,Spectroscopy,Q3
Lankesteriana,14093871,0.345,20,Plant Science,Q3
Machine Translation,09226567,0.345,36,Linguistics and Language,Q2
Medien und Kommunikationswissenschaft,1615634X,0.345,7,Communication,Q2
Multidiscipline Modeling in Materials and Structures,15736105,0.345,35,Materials Science,Q3
"Organization, Technology and Management in Construction",18476228,0.345,11,Building and Construction,Q3
Osaka Journal of Mathematics,00306126,0.345,37,Mathematics,Q3
Political Science,00323187,0.345,20,Sociology and Political Science,Q2
Stapp car crash journal,15328546,0.345,46,Medicine,Q3
Taiwania,0372333X,0.345,25,Ecology,Q3
Theoretical Medicine and Bioethics,15731200,0.345,46,"Issues, Ethics and Legal Aspects",Q3
Arab Journal of Gastroenterology,20902387,0.344,26,Gastroenterology,Q3
Brazilian Journal of Nephrology,01012800,0.344,35,Nephrology,Q3
Canadian Studies in Population,03801489,0.344,13,History,Q1
Clinical Journal of Oncology Nursing,1538067X,0.344,57,Oncology,Q3
Contemporary Mathematics,02714132,0.344,27,Mathematics,Q3
Electronic Journal of the International Federation of Clinical Chemistry and Laboratory Medicine,16503414,0.344,23,Biochemistry,Q3
Eurasian Journal of Medicine,13088734,0.344,26,Medicine,Q3
Higher Learning Research Communications,21576254,0.344,12,Education,Q3
"International Journal of Innovative Computing, Information and Control",13494198,0.344,56,Computational Theory and Mathematics,Q3
Journal for the Cognitive Science of Religion,20497563,0.344,7,Religious Studies,Q1
Journal of Health Literacy,24764728,0.344,11,"Public Health, Environmental and Occupational Health",Q3
Journal of Mediterranean Archaeology,17431700,0.344,35,Archeology,Q1
Journal of Sustainable Real Estate,19498276,0.344,7,"Geography, Planning and Development",Q2
LEARN Journal: Language Education and Acquisition Research Network,26300672,0.344,13,Linguistics and Language,Q2
Marine and Freshwater Behaviour and Physiology,10290362,0.344,43,Aquatic Science,Q3
Mechanics and Industry,22577777,0.344,30,Industrial and Manufacturing Engineering,Q2
Quarterly Journal of Engineering Geology and Hydrogeology,14709236,0.344,52,Earth and Planetary Sciences,Q3
Revista de la Facultad de Ciencias Agrarias,03704661,0.344,16,Agronomy and Crop Science,Q2
State Crime Journal,20466056,0.344,10,Law,Q2
University of New South Wales Law Journal,18392881,0.344,12,Philosophy,Q1
Vestnik Rossiyskikh Universitetov. Matematika,27823342,0.344,5,Mathematics,Q3
Washington Law Review,00430617,0.344,30,Law,Q2
Xinan Jiaotong Daxue Xuebao/Journal of Southwest Jiaotong University,02582724,0.344,29,Multidisciplinary,Q2
Zoomorphology,1432234X,0.344,46,Animal Science and Zoology,Q2
Annals of Hepato-Biliary-Pancreatic Surgery,25085859,0.343,11,Gastroenterology,Q3
Arab Gulf Journal of Scientific Research,25360051,0.343,16,Agronomy and Crop Science,Q2
Arboricultural Journal,21681074,0.343,26,Agronomy and Crop Science,Q2
BRICS Law Journal,24122343,0.343,8,Law,Q2
